date	crude
08/15/05	66.41
08/16/05	65.24
08/17/05	63.39
08/18/05	61.74
08/19/05	64.2
08/22/05	65.86
08/23/05	65.18
08/24/05	65.11
08/25/05	65.72
08/26/05	66.11
08/29/05	65.7
08/30/05	66.18
08/31/05	66.99
09/01/05	66.95
09/02/05	66.05
09/05/05	64.25
09/06/05	64.13
09/07/05	63.56
09/08/05	61.49
09/09/05	63
09/12/05	60.65
09/13/05	61.17
09/14/05	61.59
09/15/05	61.82
09/16/05	60.33
09/19/05	63.84
09/20/05	62.98
09/21/05	64.41
09/22/05	64.52
09/23/05	61.99
09/26/05	62.13
09/27/05	62.47
09/28/05	62.81
09/29/05	61.88
09/30/05	61.94
10/03/05	61.81
10/04/05	59.46
10/05/05	59.37
10/06/05	57.29
10/07/05	57.41
10/10/05	56.79
10/11/05	58.22
10/12/05	59.95
10/13/05	60.06
10/14/05	58.65
10/17/05	59.48
10/18/05	58.83
10/19/05	58.11
10/20/05	57.09
10/21/05	56.6
10/24/05	57.51
10/25/05	58.44
10/26/05	59.97
10/27/05	58.2
10/28/05	59.4
10/31/05	58.52
11/01/05	58.81
11/02/05	58.8
11/03/05	59.48
11/04/05	59.81
11/07/05	57.95
11/08/05	57.8
11/09/05	56.88
11/10/05	55
11/11/05	54.32
11/14/05	54.09
11/15/05	54.47
11/16/05	53.64
11/17/05	53.67
11/18/05	52.77
11/21/05	53.19
11/22/05	54.05
11/23/05	53.65
11/24/05	53.48
11/25/05	53.26
11/28/05	53.38
11/29/05	53.39
11/30/05	53.18
12/01/05	53.19
12/02/05	54.97
12/05/05	56.06
12/06/05	55.68
12/07/05	55.47
12/08/05	56.48
12/09/05	57.4
12/12/05	57.82
12/13/05	58.99
12/14/05	59.57
12/15/05	60.02
12/16/05	58.09
12/19/05	55.84
12/20/05	56.09
12/21/05	56.11
12/22/05	57.28
12/23/05	56.35
12/26/05	56.35
12/27/05	55.71
12/28/05	56.99
12/29/05	57.74
12/30/05	58.28
01/02/06	58.28
01/03/06	61.55
01/04/06	61.33
01/05/06	61.83
01/06/06	62.57
01/09/06	62.53
01/10/06	62.1
01/11/06	60.99
01/12/06	62.98
01/13/06	61.9
01/16/06	62.45
01/17/06	63.54
01/18/06	63.59
01/19/06	63.39
01/20/06	65.24
01/23/06	64.04
01/24/06	64.21
01/25/06	62.54
01/26/06	63.65
01/27/06	64.91
01/30/06	65.12
01/31/06	65.07
02/01/06	65.6
02/02/06	63.22
02/03/06	62.47
02/06/06	63.23
02/07/06	61.32
02/08/06	60.58
02/09/06	61.1
02/10/06	59.86
02/13/06	59.06
02/14/06	58.27
02/15/06	57.74
02/16/06	57.17
02/17/06	58.32
02/20/06	59.78
02/21/06	59.31
02/22/06	58.77
02/23/06	59.02
02/24/06	60.45
02/27/06	59.45
02/28/06	59.89
03/01/06	61.07
03/02/06	62.48
03/03/06	62.74
03/06/06	61.49
03/07/06	59.94
03/08/06	58.42
03/09/06	59.52
03/10/06	60.07
03/13/06	61.03
03/14/06	62.36
03/15/06	63.36
03/16/06	62.03
03/17/06	63.06
03/20/06	61.53
03/21/06	60.09
03/22/06	61.46
03/23/06	61.79
03/24/06	62.7
03/27/06	62.91
03/28/06	64.61
03/29/06	64.89
03/30/06	66.02
03/31/06	66.14
04/03/06	67.53
04/04/06	66.01
04/05/06	66.8
04/06/06	67.58
04/07/06	66.94
04/10/06	68.33
04/11/06	68.43
04/12/06	69.53
04/13/06	69.44
04/14/06	69.44
04/17/06	70.47
04/18/06	71.28
04/19/06	72.83
04/20/06	72.89
04/21/06	73.95
04/24/06	74.04
04/25/06	72.84
04/26/06	73.55
04/27/06	71.8
04/28/06	72.12
05/01/06	73.51
05/02/06	74.48
05/03/06	73.52
05/04/06	71.46
05/05/06	70.53
05/08/06	68.26
05/09/06	70.53
05/10/06	69.82
05/11/06	72.11
05/12/06	71.46
05/15/06	69.02
