date,crudedaily.rets
2/23/1988,0.957517788
2/24/1988,-1.318963965
2/25/1988,-4.442433112
2/26/1988,-0.569441589
2/29/1988,1.32368778
3/1/1988,-2.600844348
3/2/1988,0.768249617
3/3/1988,-2.127054089
3/4/1988,1.80766704
3/7/1988,-1.872834849
3/8/1988,1.488218991
3/9/1988,-0.386100866
3/10/1988,3.297698943
3/11/1988,1.054927562
3/14/1988,-4.030772349
3/15/1988,1.530642128
3/16/1988,1.382800161
3/17/1988,2.222313678
3/18/1988,1.334161694
3/21/1988,-0.543643743
3/22/1988,-3.075273092
3/23/1988,3.49836227
3/24/1988,0.840845795
3/25/1988,2.013093441
3/28/1988,-0.058633833
3/29/1988,0.175798463
3/30/1988,-0.11716463
3/31/1988,0.11716463
4/1/1988,0
4/4/1988,-0.528325268
4/5/1988,-1.661759308
4/6/1988,0.477612848
4/7/1988,1.478005031
4/8/1988,-1.061956883
4/11/1988,5.761962287
4/12/1988,1.113597254
4/13/1988,0.331675263
4/14/1988,1.5334364
4/15/1988,-0.435730537
4/18/1988,0.923668615
4/19/1988,-3.131263785
4/20/1988,0
4/21/1988,2.26216543
4/22/1988,-1.097103708
4/25/1988,1.260636043
4/26/1988,0.92166551
4/27/1988,-1.139768105
4/28/1988,-2.31926464
4/29/1988,1.055858656
5/2/1988,-5.56962115
5/3/1988,1.046521179
5/4/1988,-0.40568007
5/5/1988,1.039870722
5/6/1988,1.313179019
5/9/1988,-0.45480465
5/10/1988,-0.285306898
5/11/1988,-0.11435107
5/12/1988,0
5/13/1988,0.228571528
5/16/1988,0.965642266
5/17/1988,0.169443701
5/18/1988,-1.879861681
5/19/1988,0.172364306
5/20/1988,-0.057421764
5/23/1988,-2.324334737
5/24/1988,0.176211499
5/25/1988,1.975659844
5/26/1988,0.85935791
5/27/1988,-0.514728045
5/30/1988,0
5/31/1988,0.514728045
6/1/1988,0.398520311
6/2/1988,0.340329313
6/3/1988,-0.853004888
6/6/1988,-1.322238292
6/7/1988,0.231213976
6/8/1988,0.115406822
6/9/1988,-1.510778299
6/10/1988,-2.309845069
6/13/1988,-1.570080562
6/14/1988,2.464807677
6/15/1988,-1.737090699
6/16/1988,0.36188218
6/17/1988,-1.15048196
6/20/1988,-2.528657702
6/21/1988,-1.257087579
6/22/1988,1.319529042
6/23/1988,-1.003772543
6/24/1988,1.066175041
6/27/1988,-1.066175041
6/28/1988,0.878850603
6/29/1988,-4.017116469
6/30/1988,-1.178024094
7/1/1988,-1.860518783
7/4/1988,0
7/5/1988,1.332464751
7/6/1988,2.095689009
7/7/1988,2.496129596
7/8/1988,-2.56095942
7/11/1988,-5.807437452
7/12/1988,0.411523215
7/13/1988,-1.795628356
7/14/1988,3.290221394
7/15/1988,0.13477091
7/18/1988,6.390700864
7/19/1988,-4.390634194
7/20/1988,3.947455247
7/21/1988,3.246227614
7/22/1988,-0.061443934
7/25/1988,-1.174665748
7/26/1988,-0.623832341
7/27/1988,1.181973325
7/28/1988,-0.558140984
7/29/1988,1.726306742
8/1/1988,-1.850762266
8/2/1988,-3.098572267
8/3/1988,-2.470866924
8/4/1988,-0.528054032
8/5/1988,1.249605211
8/8/1988,3.405404549
8/9/1988,-1.784623527
8/10/1988,0.641027836
8/11/1988,0.636944829
8/12/1988,-1.406672811
8/15/1988,0.321440328
8/16/1988,-0.514801652
8/17/1988,-0.323102058
8/18/1988,0.83790371
8/19/1988,1.148704399
8/22/1988,-0.126984144
8/23/1988,-0.254453063
8/24/1988,-1.024336741
8/25/1988,-1.360565206
8/26/1988,0.065210306
8/29/1988,-0.654024568
8/30/1988,0.979439759
8/31/1988,-1.308063124
9/1/1988,-0.992399809
9/2/1988,-1.67620418
9/5/1988,0
9/6/1988,-3.719437001
9/7/1988,0.21030502
9/8/1988,1.597810998
9/9/1988,-2.65378702
9/12/1988,2.446819026
9/13/1988,0.482260666
9/14/1988,5.547697046
9/15/1988,-3.439492479
9/16/1988,-2.521428296
9/19/1988,1.506877828
9/20/1988,2.417847803
9/21/1988,0.727275933
9/22/1988,0.460073109
9/23/1988,-6.782259634
9/26/1988,-0.633581845
9/27/1988,0.422833611
9/28/1988,-1.060455325
9/29/1988,-1.215603099
9/30/1988,-4.262217502
10/3/1988,-2.201227398
10/4/1988,0
10/5/1988,-3.594136853
10/6/1988,0.317712737
10/7/1988,2.89195613
10/10/1988,4.518841085
10/11/1988,0.367512358
10/12/1988,2.82116359
10/13/1988,1.627202511
10/14/1988,4.393293998
10/17/1988,1.797053352
10/18/1988,-3.558616518
10/19/1988,4.608494928
10/20/1988,-5.915703085
10/21/1988,-1.535270909
10/24/1988,-9.509923159
10/25/1988,3.271497532
10/26/1988,0.671393794
10/27/1988,1.622454469
10/28/1988,0.801461485
10/31/1988,-1.75699981
11/1/1988,-0.147819687
11/2/1988,1.832224213
11/3/1988,0.867684403
11/4/1988,1.074124183
11/7/1988,0.284495213
11/8/1988,-2.73595179
11/9/1988,1.305312224
11/10/1988,0.78938336
11/11/1988,0
11/14/1988,1.771211731
11/15/1988,-1.557002438
11/16/1988,-2.454996941
11/17/1988,-2.817087697
11/18/1988,1.195828899
11/21/1988,1.913229808
11/22/1988,7.442029322
11/23/1988,-4.710011814
11/24/1988,0
11/25/1988,8.949057075
11/28/1988,-3.229275658
11/29/1988,0.401070056
11/30/1988,2.763333722
