roilf	roilf1
3.394853201	1.38373682
-4.208584916	3.394853201
-0.713015498	-4.208584916
0.819530687	-0.713015498
0.530880737	0.819530687
-3.59363139	0.530880737
-3.575799957	-3.59363139
-0.837780985	-3.575799957
-1.037872088	-0.837780985
0	-1.037872088
-2.385254823	0
1.920497984	-2.385254823
-4.323497069	1.920497984
2.561164402	-4.323497069
-0.912885879	2.561164402
0.991874825	-0.912885879
-1.752334763	0.991874825
-0.402577033	-1.752334763
-0.161485703	-0.402577033
-1.8760746	-0.161485703
-0.702337116	-1.8760746
2.132976681	-0.702337116
3.978249339	2.132976681
1.163254684	3.978249339
0.576592026	1.163254684
-2.562251971	0.576592026
-0.473000488	-2.562251971
0.86546567	-0.473000488
1.129515417	0.86546567
2.486263082	1.129515417
-0.568290978	2.486263082
1.65791288	-0.568290978
0.372995584	1.65791288
0	0.372995584
-0.186323885	0
-0.149309472	-0.186323885
0.112002998	-0.149309472
0	0.112002998
0	0
-2.761665957	0
0.07668712	-2.761665957
2.572975838	0.07668712
0.223880691	2.572975838
2.393780292	0.223880691
-1.503236373	2.393780292
2.480973657	-1.503236373
0.46737457	2.480973657
-1.118136086	0.46737457
0.93863505	-1.118136086
-4.520335975	0.93863505
-1.096212074	-4.520335975
2.106132758	-1.096212074
-0.37285651	2.106132758
-0.862882863	-0.37285651
0.037671878	-0.862882863
3.005234507	0.037671878
-1.250476022	3.005234507
-2.056531629	-1.250476022
1.388129586	-2.056531629
-0.973425882	1.388129586
2.195437015	-0.973425882
-2.496869045	2.195437015
0.63946052	-2.496869045
0.70988529	0.63946052
3.655377726	0.70988529
0.143472048	3.655377726
0.892066576	0.143472048
3.181530356	0.892066576
0.924822485	3.181530356
1.723889235	0.924822485
0.900756716	1.723889235
-2.931970761	0.900756716
-1.377432246	-2.931970761
-0.730819331	-1.377432246
2.244956998	-0.730819331
-1.548817744	2.244956998
-1.714227739	-1.548817744
2.025916303	-1.714227739
0.20725396	2.025916303
0	0.20725396
-4.192969314	0
1.712492795	-4.192969314
2.480476519	1.712492795
2.150620522	2.480476519
0.40444949	2.150620522
0	0.40444949
0.134453802	0
-3.139118207	0.134453802
3.273391474	-3.139118207
-0.470747339	3.273391474
-2.008578164	-0.470747339
1.366141466	-2.008578164
0.067819602	1.366141466
0.372187877	0.067819602
3.647619234	0.372187877
0.195185488	3.647619234
-0.423384446	0.195185488
-0.753484318	-0.423384446
0.42657981	-0.753484318
-0.295130563	0.42657981
1.240224774	-0.295130563
-1.10894809	1.240224774
-2.423355104	-1.10894809
-0.471540113	-2.423355104
0.067499159	-0.471540113
-0.541273311	0.067499159
-0.441952105	-0.541273311
-1.303173449	-0.441952105
1.371293343	-1.303173449
2.222313678	1.371293343
-1.037666215	2.222313678
-0.84474231	-1.037666215
0.507701209	-0.84474231
-0.067544751	0.507701209
-4.244211251	-0.067544751
-1.598897093	-4.244211251
0.926922858	-1.598897093
0	0.926922858
-4.092550118	0
0.883332943	-4.092550118
-1.588214363	0.883332943
-0.186323885	-1.588214363
1.517704498	-0.186323885
0	1.517704498
-0.996869987	0
-3.051658916	-0.996869987
1.178945011	-3.051658916
-4.129469602	1.178945011
1.563753522	-4.129469602
0.618718138	1.563753522
-0.154321018	0.618718138
-2.779587834	-0.154321018
0.396197032	-2.779587834
0.866147147	0.396197032
4.596749497	0.866147147
-1.091672803	4.596749497
2.097455169	-1.091672803
-2.362757579	2.097455169
1.543996027	-2.362757579
-2.458985255	1.543996027
1.104562744	-2.458985255
1.839046013	1.104562744
0	1.839046013
0	0
1.2932011	0
0.220022091	1.2932011
-2.184867507	0.220022091
2.14823076	-2.184867507
-1.32794279	2.14823076
0.997606648	-1.32794279
1.965844158	0.997606648
-1.233240149	1.965844158
2.201857588	-1.233240149
1.523501566	2.201857588
5.672856682	1.523501566
0	5.672856682
1.123236124	0
0.39344313	1.123236124
-1.218122058	0.39344313
5.038198162	-1.218122058
0.690523773	5.038198162
0	0.690523773
1.613438661	0
0.705416205	1.613438661
-4.213448953	0.705416205
-0.543392739	-4.213448953
0	-0.543392739
2.06192872	0
0	2.06192872
0.781864812	0
-3.229150464	0.781864812
-1.68725612	-3.229150464
4.573138966	-1.68725612
-0.973778702	4.573138966
1.814250575	-0.973778702
0.340399524	1.814250575
2.561896745	0.340399524
1.345915337	2.561896745
0.739976737	1.345915337
0	0.739976737
2.043270151	0
-5.219091272	2.043270151
0	-5.219091272
1.300487102	0
-3.019903118	1.300487102
1.169964084	-3.019903118
2.896130014	1.169964084
0.652047361	2.896130014
-1.009509761	0.652047361
-2.263564276	-1.009509761
2.472239266	-2.263564276
1.036892715	2.472239266
0.675579012	1.036892715
2.771539985	0.675579012
-1.839132297	2.771539985
2.746167994	-1.839132297
0.926842753	2.746167994
1.635971604	0.926842753
1.202857587	1.635971604
0	1.202857587
0.43384016	0
0.539666717	0.43384016
-1.000684483	0.539666717
-3.344238688	-1.000684483
2.498048297	-3.344238688
-1.157994743	2.498048297
4.447587668	-1.157994743
-1.335133317	4.447587668
-1.626052087	-1.335133317
-1.986820322	-1.626052087
2.776047442	-1.986820322
-0.543627324	2.776047442
0.841367428	-0.543627324
2.086194943	0.841367428
-1.359114858	2.086194943
-1.486714774	-1.359114858
2.978087289	-1.486714774
-4.930576098	2.978087289
-1.764998893	-4.930576098
-1.280062991	-1.764998893
-9.797619827	-1.280062991
-5.818050029	-9.797619827
-4.34330532	-5.818050029
-6.125834232	-4.34330532
6.300445766	-6.125834232
-2.436991519	6.300445766
2.33226119	-2.436991519
5.900015995	2.33226119
-0.693873592	5.900015995
2.876015218	-0.693873592
0	2.876015218
-8.326955784	0
1.425367431	-8.326955784
-1.215503765	1.425367431
-2.333085676	-1.215503765
0.142959281	-2.333085676
2.990548278	0.142959281
-4.937959261	2.990548278
2.446165135	-4.937959261
1.726306742	2.446165135
2.279104173	1.726306742
-0.376261775	2.279104173
4.588114252	-0.376261775
0	4.588114252
1.04201529	0
-3.159196587	1.04201529
-11.5403722	-3.159196587
