"","KLSE.Open","KLSE.Close","KLSE.Adjusted"
"3017",1691.099976,1693.77002,1693.77002
"3018",1694.640015,1697.689941,1697.689941
"3019",1701.140015,1715.670044,1715.670044
"3020",1714.530029,1708.380005,1708.380005
"3021",1706.589966,1727.359985,1727.359985
"3022",1727.650024,1728.660034,1728.660034
"3023",1725.780029,1725.540039,1725.540039
"3024",1723.209961,1717.420044,1717.420044
"3025",1716.339966,1717.579956,1717.579956
"3026",1716.75,1721.920044,1721.920044
"3027",1722.449951,1722.469971,1722.469971
"3028",1717.170044,1717.359985,1717.359985
"3029",1726.339966,1737.140015,1737.140015
"3030",1742.380005,1745.199951,1745.199951
"3031",1744.069946,1749.410034,1749.410034
"3032",1749.420044,1754.670044,1754.670044
"3033",1747.75,1748.300049,1748.300049
"3034",1750.660034,1747,1747
"3035",1748.150024,1745.75,1745.75
"3036",1745.079956,1744.949951,1744.949951
"3037",1750.599976,1754.420044,1754.420044
"3038",1757.459961,1750.410034,1750.410034
"3039",1750.689941,1749.25,1749.25
"3040",1746.959961,1740.089966,1740.089966
"3041",1742.380005,1745.48999,1745.48999
"3042",1745.030029,1747.189941,1747.189941
"3043",1745.630005,1744.670044,1744.670044
"3044",1744.810059,1739.560059,1739.560059
"3045",1740.819946,1741.719971,1741.719971
"3046",1739.72998,1739.52002,1739.52002
"3047",1739.349976,1735.839966,1735.839966
"3048",1735.829956,1744.079956,1744.079956
"3049",1743.339966,1738.180054,1738.180054
"3050",1736.650024,1730.98999,1730.98999
"3051",1731.130005,1733.930054,1733.930054
"3052",1735.550049,1740.599976,1740.599976
"3053",1740.26001,1738.949951,1738.949951
"3054",1737.900024,1741.609985,1741.609985
"3055",1742.22998,1756.050049,1756.050049
"3056",NA,NA,NA
"3057",1765.079956,1765.800049,1765.800049
"3058",1767.780029,1768.920044,1768.920044
"3059",1768.189941,1767.920044,1767.920044
"3060",1767.97998,1768.060059,1768.060059
"3061",1769.160034,1778.469971,1778.469971
"3062",1778.880005,1772.51001,1772.51001
"3063",1767.930054,1758.670044,1758.670044
"3064",1758.829956,1762.73999,1762.73999
"3065",1765.050049,1768.150024,1768.150024
"3066",1768.459961,1766.560059,1766.560059
"3067",1776.290039,1775.390015,1775.390015
"3068",1776.930054,1775.869995,1775.869995
"3069",1775.400024,1778.650024,1778.650024
"3070",1785.030029,1778.150024,1778.150024
"3071",1779.73999,1775.650024,1775.650024
"3072",1765.380005,1767.170044,1767.170044
"3073",1768.400024,1768.280029,1768.280029
"3074",1772.150024,1774.949951,1774.949951
"3075",1775.579956,1767.170044,1767.170044
"3076",1770.459961,1771.01001,1771.01001
"3077",1774.300049,1773.959961,1773.959961
"3078",1773.900024,1772.300049,1772.300049
"3079",1774.25,1764.890015,1764.890015
"3080",1766.420044,1765.869995,1765.869995
"3081",1764.569946,1763.109985,1763.109985
"3082",1767.599976,1776.949951,1776.949951
"3083",1777.369995,1787.949951,1787.949951
"3084",1787.48999,1791.01001,1791.01001
"3085",1789.680054,1785.920044,1785.920044
"3086",1784.75,1785.569946,1785.569946
"3087",1782.859985,1788.890015,1788.890015
"3088",1789.699951,1784.439941,1784.439941
"3089",1789.329956,1792.349976,1792.349976
"3090",1792.949951,1790.01001,1790.01001
"3091",1791.310059,1791.310059,1791.310059
"3092",1792.130005,1788.900024,1788.900024
"3093",1786.719971,1780.709961,1780.709961
"3094",1780.310059,1775.569946,1775.569946
"3095",1776.890015,1777.430054,1777.430054
"3096",1778.349976,1779.449951,1779.449951
"3097",NA,NA,NA
"3098",NA,NA,NA
"3099",1787.189941,1771.22998,1771.22998
"3100",1772.180054,1771.359985,1771.359985
"3101",1770.319946,1763.670044,1763.670044
"3102",1761.72998,1768.670044,1768.670044
"3103",1767.650024,1762.079956,1762.079956
"3104",1761.530029,1768.160034,1768.160034
"3105",1768,1770.530029,1770.530029
"3106",1768.069946,1759.930054,1759.930054
"3107",1759.099976,1757.130005,1757.130005
"3108",1754.619995,1755.030029,1755.030029
"3109",1755.939941,1757.23999,1757.23999
"3110",1759.01001,1753.780029,1753.780029
"3111",1756.819946,1755,1755
"3112",1759.119995,1755.189941,1755.189941
"3113",1758.140015,1754.920044,1754.920044
"3114",1753.73999,1757.27002,1757.27002
"3115",1759.849976,1755.630005,1755.630005
"3116",1756.550049,1759.160034,1759.160034
"3117",1761.349976,1761.98999,1761.98999
"3118",1766,1763.339966,1763.339966
"3119",1766.040039,1766,1766
"3120",1765.969971,1770.069946,1770.069946
"3121",1769.48999,1767.079956,1767.079956
"3122",1767.900024,1760.030029,1760.030029
"3123",1765.030029,1765.130005,1765.130005
"3124",1768.380005,1770.609985,1770.609985
"3125",1770.810059,1771.900024,1771.900024
"3126",1772.459961,1774.530029,1774.530029
"3127",1775.52002,1777.910034,1777.910034
"3128",1778.550049,1781.650024,1781.650024
"3129",1777.300049,1777.939941,1777.939941
"3130",1776.939941,1777.77002,1777.77002
"3131",1774.880005,1766.959961,1766.959961
"3132",1766.5,1771.079956,1771.079956
"3133",1772.869995,1772.390015,1772.390015
"3134",1772.890015,1773.75,1773.75
"3135",1774.810059,1776.310059,1776.310059
"3136",1772.339966,1776.219971,1776.219971
"3137",1774.719971,1771.619995,1771.619995
"3138",1771.469971,1774.219971,1774.219971
"3139",1775.349976,1772.939941,1772.939941
"3140",1772.75,1775.5,1775.5
"3141",1772.099976,1769.170044,1769.170044
"3142",1766.589966,1769.48999,1769.48999
"3143",1766.869995,1761.140015,1761.140015
"3144",1758.589966,1773.160034,1773.160034
"3145",NA,NA,NA
"3146",NA,NA,NA
"3147",NA,NA,NA
"3148",1785.689941,1769.630005,1769.630005
"3149",1768.829956,1772.47998,1772.47998
"3150",1775.060059,1782.97998,1782.97998
"3151",1781.069946,1779.900024,1779.900024
"3152",1780.27002,1782.73999,1782.73999
"3153",1782.290039,1789.859985,1789.859985
"3154",1789.380005,1786.069946,1786.069946
"3155",1786.140015,1781.369995,1781.369995
"3156",1783.98999,1786.329956,1786.329956
"3157",1782.930054,1783.660034,1783.660034
"3158",1783.680054,1776.660034,1776.660034
"3159",1777.030029,1773.579956,1773.579956
"3160",1775.449951,1771.040039,1771.040039
"3161",NA,NA,NA
"3162",1771.390015,1769.140015,1769.140015
"3163",1768.550049,1765.589966,1765.589966
"3164",1767.619995,1764.23999,1764.23999
"3165",1765.829956,1758.060059,1758.060059
"3166",1760.25,1755.579956,1755.579956
"3167",1755.219971,1754.780029,1754.780029
"3168",1756.51001,1759.670044,1759.670044
"3169",1759.810059,1761.839966,1761.839966
